Rank,ÿÿÿWord,Part of speech,Frequency,Dispersion
1280,ÿÿÿapartment,n,31012,0.93
1281,ÿÿÿwilling,j,29635,0.97
1282,ÿÿÿstrength,n,29769,0.96
1283,ÿÿÿprevious,j,30490,0.94
1284,ÿÿÿband,n,29769,0.96
1285,ÿÿÿobviously,r,31299,0.91
1286,ÿÿÿhorse,n,30993,0.92
1287,ÿÿÿinterested,j,29155,0.98
1288,ÿÿÿtarget,n,29866,0.96
1289,ÿÿÿprison,n,30248,0.94
1290,ÿÿÿride,v,30476,0.94
1291,ÿÿÿguard,n,30159,0.94
1292,ÿÿÿterms,i,30996,0.92
1293,ÿÿÿdemand,n,30519,0.93
1294,ÿÿÿreporter,n,30416,0.93
1295,ÿÿÿdeliver,v,29169,0.97
1296,ÿÿÿtext,n,32316,0.88
1297,ÿÿÿshare,n,30752,0.92
1298,ÿÿÿtool,n,30286,0.93
1299,ÿÿÿwild,j,29473,0.96
1300,ÿÿÿvehicle,n,29421,0.96
1301,ÿÿÿobserve,v,30737,0.92
1302,ÿÿÿflight,n,29535,0.95
1303,ÿÿÿinside,r,30715,0.91
1304,ÿÿÿfacility,n,30107,0.93
1305,ÿÿÿunderstanding,n,31319,0.89
1306,ÿÿÿaverage,j,29717,0.94
1307,ÿÿÿemerge,v,29496,0.95
1308,ÿÿÿadvantage,n,29340,0.95
1309,ÿÿÿquick,j,29108,0.96
1310,ÿÿÿlight,j,29731,0.94
1311,ÿÿÿleadership,n,30047,0.93
1312,ÿÿÿearn,v,29560,0.94
1313,ÿÿÿpound,n,29946,0.93
1314,ÿÿÿbasis,n,30377,0.92
1315,ÿÿÿbright,j,29780,0.93
1316,ÿÿÿoperate,v,29345,0.95
1317,ÿÿÿguest,n,29328,0.95
1318,ÿÿÿsample,n,32436,0.86
1319,ÿÿÿcontribute,v,30090,0.92
1320,ÿÿÿtiny,j,29756,0.93
1321,ÿÿÿblock,n,28826,0.96
1322,ÿÿÿprotection,n,29336,0.94
1323,ÿÿÿsettle,v,28827,0.96
1324,ÿÿÿfeed,v,28494,0.97
1325,ÿÿÿcollect,v,28946,0.95
1326,ÿÿÿadditional,j,29771,0.93
1327,ÿÿÿwhile,n,29579,0.93
1328,ÿÿÿhighly,r,29554,0.93
1329,ÿÿÿidentity,n,31163,0.88
1330,ÿÿÿtitle,n,29210,0.94
1331,ÿÿÿmostly,r,28178,0.97
1332,ÿÿÿlesson,n,28623,0.96
1333,ÿÿÿfaith,n,28710,0.95
1334,ÿÿÿriver,n,28862,0.95
1335,ÿÿÿpromote,v,29679,0.92
1336,ÿÿÿliving,n,28736,0.95
1337,ÿÿÿpresent,j,30645,0.89
1338,ÿÿÿcount,v,28836,0.95
1339,ÿÿÿunless,c,27908,0.98
1340,ÿÿÿmarry,v,28722,0.95
1341,ÿÿÿtomorrow,r,30098,0.91
1342,ÿÿÿtechnique,n,29828,0.91
1343,ÿÿÿpath,n,28344,0.96
1344,ÿÿÿear,n,29597,0.92
1345,ÿÿÿshop,n,28589,0.95
1346,ÿÿÿfolk,n,28698,0.94
1347,ÿÿÿorder,v,27950,0.97
1348,ÿÿÿprinciple,n,30011,0.9
1349,ÿÿÿsurvive,v,27682,0.98
1350,ÿÿÿlift,v,29354,0.92
1351,ÿÿÿborder,n,28636,0.94
1352,ÿÿÿcompetition,n,28752,0.93
1353,ÿÿÿjump,v,28504,0.94
1354,ÿÿÿgather,v,27659,0.97
1355,ÿÿÿlimit,v,28901,0.93
1356,ÿÿÿfit,v,27875,0.96
1357,ÿÿÿclaim,n,28609,0.94
1358,ÿÿÿcry,v,29690,0.9
1359,ÿÿÿequipment,n,28023,0.95
1360,ÿÿÿworth,i,27687,0.97
1361,ÿÿÿassociate,v,30406,0.88
1362,ÿÿÿcritic,n,28244,0.94
1363,ÿÿÿwarm,j,28600,0.93
1364,ÿÿÿaspect,n,29460,0.9
1365,ÿÿÿresult,v,29515,0.9
1366,ÿÿÿinsist,v,27205,0.97
1367,ÿÿÿfailure,n,28234,0.94
1368,ÿÿÿannual,j,28471,0.93
1369,ÿÿÿFrench,j,27590,0.96
1370,ÿÿÿChristmas,n,28046,0.94
1371,ÿÿÿcomment,n,27712,0.95
1372,ÿÿÿresponsible,j,27569,0.96
1373,ÿÿÿaffair,n,27432,0.96
1374,ÿÿÿapproach,v,27449,0.96
1375,ÿÿÿuntil,i,27007,0.97
1376,ÿÿÿprocedure,n,29044,0.9
1377,ÿÿÿregular,j,27244,0.96
1378,ÿÿÿspread,v,27266,0.96
1379,ÿÿÿchairman,n,28560,0.92
1380,ÿÿÿbaseball,n,28551,0.92
1381,ÿÿÿsoft,j,27970,0.94
1382,ÿÿÿignore,v,27023,0.97
1383,ÿÿÿegg,n,27917,0.94
1384,ÿÿÿmeasure,v,28612,0.91
1385,ÿÿÿbelief,n,28844,0.91
1386,ÿÿÿdemonstrate,v,29170,0.9
1387,ÿÿÿanybody,p,28704,0.91
1388,ÿÿÿmurder,n,28335,0.92
1389,ÿÿÿgift,n,27050,0.96
1390,ÿÿÿreligion,n,28220,0.92
1391,ÿÿÿreview,n,28141,0.93
1392,ÿÿÿeditor,n,27734,0.94
1393,ÿÿÿpast,i,28278,0.92
1394,ÿÿÿengage,v,28194,0.92
1395,ÿÿÿcoffee,n,28331,0.92
1396,ÿÿÿdocument,n,29437,0.88
1397,ÿÿÿspeed,n,27740,0.93
1398,ÿÿÿcross,v,27524,0.94
1399,ÿÿÿinfluence,n,28387,0.91
1400,ÿÿÿanyway,r,28170,0.92
1401,ÿÿÿthreaten,v,26587,0.97
1402,ÿÿÿcommit,v,26943,0.96
1403,ÿÿÿfemale,j,27952,0.92
1404,ÿÿÿyouth,n,27755,0.93
1405,ÿÿÿwave,n,26844,0.96
1406,ÿÿÿmove,n,26717,0.96
1407,ÿÿÿafraid,j,27727,0.93
1408,ÿÿÿquarter,n,27125,0.95
1409,ÿÿÿbackground,n,26907,0.96
1410,ÿÿÿnative,j,28026,0.92
1411,ÿÿÿbroad,j,27191,0.94
1412,ÿÿÿwonderful,j,27494,0.93
1413,ÿÿÿdeny,v,26675,0.96
1414,ÿÿÿapparently,r,26513,0.97
1415,ÿÿÿslightly,r,26887,0.95
1416,ÿÿÿreaction,n,26771,0.96
1417,ÿÿÿtwice,r,26450,0.97
1418,ÿÿÿsuit,n,27066,0.95
1419,ÿÿÿperspective,n,28324,0.9
1420,ÿÿÿgrowing,j,26858,0.95
1421,ÿÿÿblow,v,27254,0.94
1422,ÿÿÿconstruction,n,27114,0.94
1423,ÿÿÿkind,r,29474,0.86
1424,ÿÿÿintelligence,n,27555,0.92
1425,ÿÿÿdestroy,v,26177,0.97
1426,ÿÿÿcook,v,27725,0.91
1427,ÿÿÿconnection,n,26552,0.95
1428,ÿÿÿcharge,v,26432,0.96
1429,ÿÿÿburn,v,26646,0.95
1430,ÿÿÿshoe,n,26945,0.94
1431,ÿÿÿview,v,27258,0.92
1432,ÿÿÿgrade,n,27178,0.92
1433,ÿÿÿcontext,n,29113,0.86
1434,ÿÿÿcommittee,n,26697,0.94
1435,ÿÿÿhey,u,27659,0.91
1436,ÿÿÿmistake,n,26080,0.96
1437,ÿÿÿfocus,n,26815,0.93
1438,ÿÿÿsmile,n,28698,0.87
1439,ÿÿÿlocation,n,26463,0.94
1440,ÿÿÿclothes,n,27033,0.92
1441,ÿÿÿIndian,j,27100,0.92
1442,ÿÿÿquiet,j,26732,0.93
1443,ÿÿÿdress,v,26669,0.93
1444,ÿÿÿpromise,v,25720,0.97
1445,ÿÿÿaware,j,25503,0.97
1446,ÿÿÿneighbor,n,25497,0.97
1447,ÿÿÿcomplete,j,25699,0.97
1448,ÿÿÿdrive,n,26373,0.94
1449,ÿÿÿfunction,n,28011,0.88
1450,ÿÿÿbone,n,26282,0.94
1451,ÿÿÿactive,j,26507,0.93
1452,ÿÿÿextend,v,25969,0.95
1453,ÿÿÿchief,j,26456,0.93
1454,ÿÿÿaverage,n,26568,0.93
1455,ÿÿÿcombine,v,26570,0.93
1456,ÿÿÿwine,n,26682,0.92
1457,ÿÿÿbelow,r,26765,0.92
1458,ÿÿÿcool,j,26279,0.94
1459,ÿÿÿvoter,n,27768,0.89
1460,ÿÿÿmean,n,28991,0.85
1461,ÿÿÿdemand,v,25207,0.97
1462,ÿÿÿlearning,n,28869,0.85
1463,ÿÿÿbus,n,25850,0.95
1464,ÿÿÿhell,n,27278,0.9
1465,ÿÿÿdangerous,j,25170,0.97
1466,ÿÿÿremind,v,25525,0.96
1467,ÿÿÿmoral,j,26980,0.91
1468,ÿÿÿUnited,j,26396,0.93
1469,ÿÿÿcategory,n,27219,0.9
1470,ÿÿÿrelatively,r,26476,0.92
1471,ÿÿÿvictory,n,26422,0.92
1472,ÿÿÿkey,n,25436,0.96
1473,ÿÿÿacademic,j,28216,0.86
1474,ÿÿÿvisit,n,25000,0.97
1475,ÿÿÿInternet,n,26983,0.9
1476,ÿÿÿhealthy,j,26009,0.94
1477,ÿÿÿfire,v,25390,0.96
1478,ÿÿÿnegative,j,26847,0.9
1479,ÿÿÿfollowing,j,26643,0.91
1480,ÿÿÿhistorical,j,27266,0.89
1481,ÿÿÿmedicine,n,25511,0.95
1482,ÿÿÿtour,n,25781,0.94
1483,ÿÿÿdepend,v,25405,0.95
1484,ÿÿÿphoto,n,25492,0.94
1485,ÿÿÿfinding,n,28246,0.85
1486,ÿÿÿgrab,v,26951,0.89
1487,ÿÿÿdirect,j,26008,0.92
1488,ÿÿÿclassroom,n,27531,0.87
1489,ÿÿÿcontact,n,25218,0.95
1490,ÿÿÿjustice,n,25377,0.95
1491,ÿÿÿparticipate,v,26500,0.91
1492,ÿÿÿdaily,j,25179,0.95
1493,ÿÿÿfair,j,25064,0.96
1494,ÿÿÿpair,n,25289,0.95
1495,ÿÿÿfamous,j,24631,0.97
1496,ÿÿÿexercise,n,25934,0.92
1497,ÿÿÿknee,n,25912,0.92
1498,ÿÿÿflower,n,25642,0.93
1499,ÿÿÿtape,n,25730,0.93
1500,ÿÿÿhire,v,25073,0.95
1501,ÿÿÿfamiliar,j,24515,0.97
1502,ÿÿÿappropriate,j,26237,0.91
1503,ÿÿÿsupply,n,24920,0.96
1504,ÿÿÿfully,r,24842,0.96
1505,ÿÿÿcut,n,25327,0.94
1506,ÿÿÿwill,n,24351,0.98
1507,ÿÿÿactor,n,24848,0.96
1508,ÿÿÿbirth,n,24515,0.97
1509,ÿÿÿsearch,n,27087,0.87
1510,ÿÿÿtie,v,24408,0.97
1511,ÿÿÿdemocracy,n,26039,0.91
1512,ÿÿÿeastern,j,25103,0.94
1513,ÿÿÿprimary,j,26043,0.9
1514,ÿÿÿyesterday,r,26215,0.9
1515,ÿÿÿcircle,n,24735,0.95
1516,ÿÿÿdevice,n,24918,0.94
1517,ÿÿÿprogress,n,24645,0.95
1518,ÿÿÿnext,i,25720,0.91
1519,ÿÿÿfront,n,24402,0.96
1520,ÿÿÿbottom,n,24653,0.95
1521,ÿÿÿisland,n,24311,0.96
1522,ÿÿÿexchange,n,24826,0.94
1523,ÿÿÿclean,j,24325,0.96
1524,ÿÿÿstudio,n,24765,0.94
1525,ÿÿÿtrain,v,23990,0.97
1526,ÿÿÿlady,n,25436,0.92
1527,ÿÿÿcolleague,n,24370,0.95
1528,ÿÿÿapplication,n,25735,0.9
1529,ÿÿÿneck,n,25716,0.9
1530,ÿÿÿlean,v,26896,0.86
1531,ÿÿÿdamage,n,24155,0.96
1532,ÿÿÿplastic,n,24563,0.94
1533,ÿÿÿtall,j,25304,0.92
1534,ÿÿÿplate,n,24592,0.94
1535,ÿÿÿhate,v,24921,0.93
1536,ÿÿÿotherwise,r,23793,0.97
1537,ÿÿÿwriting,n,24995,0.92
1538,ÿÿÿpress,v,24716,0.93
1539,ÿÿÿmale,j,24873,0.93
1540,ÿÿÿstart,n,24071,0.96
1541,ÿÿÿalive,j,24184,0.95
1542,ÿÿÿexpression,n,24748,0.93
1543,ÿÿÿfootball,n,25271,0.91
1544,ÿÿÿintend,v,23554,0.97
1545,ÿÿÿattack,v,23971,0.95
1546,ÿÿÿchicken,n,24465,0.93
1547,ÿÿÿarmy,n,23929,0.95
1548,ÿÿÿabuse,n,24534,0.93
1549,ÿÿÿtheater,n,24447,0.93
1550,ÿÿÿshut,v,24773,0.92
1551,ÿÿÿmap,n,23666,0.96
1552,ÿÿÿextra,j,24006,0.95
1553,ÿÿÿsession,n,24010,0.95
1554,ÿÿÿdanger,n,23244,0.97
1555,ÿÿÿwelcome,v,25241,0.9
1556,ÿÿÿdomestic,j,24313,0.93
1557,ÿÿÿlots,p,23750,0.95
1558,ÿÿÿliterature,n,26254,0.86
1559,ÿÿÿrain,n,24134,0.93
1560,ÿÿÿdesire,n,23994,0.94
1561,ÿÿÿassessment,n,26318,0.85
1562,ÿÿÿinjury,n,23935,0.94
1563,ÿÿÿrespect,n,23274,0.96
1564,ÿÿÿnorthern,j,23783,0.94
1565,ÿÿÿnod,v,27283,0.82
1566,ÿÿÿpaint,v,24038,0.93
1567,ÿÿÿfuel,n,23934,0.94
1568,ÿÿÿleaf,n,24044,0.93
1569,ÿÿÿdirect,v,23298,0.96
1570,ÿÿÿdry,j,23809,0.94
1571,ÿÿÿRussian,j,23739,0.94
1572,ÿÿÿinstruction,n,25190,0.89
1573,ÿÿÿfight,n,23211,0.96
1574,ÿÿÿpool,n,23346,0.96
1575,ÿÿÿclimb,v,24367,0.92
1576,ÿÿÿsweet,j,23843,0.94
1577,ÿÿÿlead,n,23301,0.96
1578,ÿÿÿengine,n,23617,0.94
1579,ÿÿÿfourth,m,23227,0.96
1580,ÿÿÿsalt,n,24711,0.9
1581,ÿÿÿexpand,v,23417,0.94
1582,ÿÿÿimportance,n,24946,0.89
1583,ÿÿÿmetal,n,23317,0.95
1584,ÿÿÿfat,n,24844,0.89
1585,ÿÿÿticket,n,23902,0.92
1586,ÿÿÿsoftware,n,23954,0.92
1587,ÿÿÿdisappear,v,23389,0.94
1588,ÿÿÿcorporate,j,23621,0.93
1589,ÿÿÿstrange,j,23744,0.93
1590,ÿÿÿlip,n,25250,0.87
1591,ÿÿÿreading,n,23919,0.92
1592,ÿÿÿurban,j,23889,0.92
1593,ÿÿÿmental,j,23650,0.93
1594,ÿÿÿincreasingly,r,23529,0.93
1595,ÿÿÿlunch,n,23220,0.94
1596,ÿÿÿeducational,j,25282,0.87
1597,ÿÿÿsomewhere,r,23527,0.93
1598,ÿÿÿfarmer,n,23005,0.95
1599,ÿÿÿabove,r,23866,0.92
1600,ÿÿÿsugar,n,24310,0.9
1601,ÿÿÿplanet,n,23567,0.93
1602,ÿÿÿfavorite,j,23159,0.94
1603,ÿÿÿexplore,v,23744,0.92
1604,ÿÿÿobtain,v,24538,0.89
1605,ÿÿÿenemy,n,22621,0.97
1606,ÿÿÿgreatest,j,22673,0.96
1607,ÿÿÿcomplex,j,23751,0.92
1608,ÿÿÿsurround,v,22391,0.97
1609,ÿÿÿathlete,n,23868,0.91
1610,ÿÿÿinvite,v,22158,0.98
1611,ÿÿÿrepeat,v,22622,0.96
1612,ÿÿÿcarefully,r,22837,0.95
1613,ÿÿÿsoul,n,22713,0.96
1614,ÿÿÿscientific,j,23691,0.92
1615,ÿÿÿimpossible,j,22233,0.98
1616,ÿÿÿpanel,n,22529,0.96
1617,ÿÿÿmeaning,n,24064,0.9
1618,ÿÿÿmom,n,23450,0.92
1619,ÿÿÿmarried,j,22352,0.97
1620,ÿÿÿalone,j,23106,0.93
1621,ÿÿÿinstrument,n,23831,0.91
1622,ÿÿÿpredict,v,22942,0.94
1623,ÿÿÿweather,n,22586,0.95
1624,ÿÿÿpresidential,j,24057,0.89
1625,ÿÿÿemotional,j,22773,0.94
1626,ÿÿÿcommitment,n,23152,0.93
1627,ÿÿÿSupreme,j,23904,0.9
1628,ÿÿÿbear,v,22190,0.97
1629,ÿÿÿpocket,n,23580,0.91
1630,ÿÿÿthin,j,23194,0.92
1631,ÿÿÿtemperature,n,23111,0.93
1632,ÿÿÿsurprise,n,22275,0.96
1633,ÿÿÿpoll,n,24009,0.89
1634,ÿÿÿproposal,n,22830,0.94
1635,ÿÿÿconsequence,n,23307,0.92
1636,ÿÿÿhalf,n,22029,0.97
1637,ÿÿÿbreath,n,24668,0.87
1638,ÿÿÿsight,n,22878,0.93
1639,ÿÿÿcover,n,22301,0.96
1640,ÿÿÿbalance,n,22243,0.96
1641,ÿÿÿadopt,v,22880,0.93
1642,ÿÿÿminority,n,23167,0.92
1643,ÿÿÿstraight,r,22929,0.93
1644,ÿÿÿattempt,v,22758,0.93
1645,ÿÿÿconnect,v,22100,0.96
1646,ÿÿÿworks,n,22722,0.93
1647,ÿÿÿteaching,n,24387,0.87
1648,ÿÿÿbelong,v,21856,0.97
1649,ÿÿÿaid,n,22642,0.93
1650,ÿÿÿadvice,n,21970,0.96
1651,ÿÿÿokay,r,24243,0.87
1652,ÿÿÿphotograph,n,22016,0.96
1653,ÿÿÿempty,j,23365,0.9
1654,ÿÿÿregional,j,23182,0.91
1655,ÿÿÿtrail,n,23030,0.91
1656,ÿÿÿnovel,n,22392,0.94
1657,ÿÿÿcode,n,22015,0.95
1658,ÿÿÿsomehow,r,22267,0.94
1659,ÿÿÿorganize,v,22389,0.94
1660,ÿÿÿjury,n,24072,0.87
1661,ÿÿÿbreast,n,22362,0.94
1662,ÿÿÿIraqi,j,25446,0.82
1663,ÿÿÿhuman,n,22022,0.95
1664,ÿÿÿacknowledge,v,21983,0.95
1665,ÿÿÿtheme,n,22494,0.93
1666,ÿÿÿstorm,n,22562,0.93
1667,ÿÿÿunion,n,22380,0.93
1668,ÿÿÿrecord,v,21939,0.95
1669,ÿÿÿdesk,n,23455,0.89
1670,ÿÿÿfear,v,21333,0.98
1671,ÿÿÿthanks,n,23061,0.9
1672,ÿÿÿfruit,n,22401,0.93
1673,ÿÿÿunder,r,21521,0.97
1674,ÿÿÿexpensive,j,21706,0.96
1675,ÿÿÿyellow,j,22452,0.93
1676,ÿÿÿconclusion,n,23034,0.9
1677,ÿÿÿprime,j,22075,0.94
1678,ÿÿÿshadow,n,22803,0.91
1679,ÿÿÿstruggle,v,21370,0.97
1680,ÿÿÿconclude,v,22247,0.93
1681,ÿÿÿanalyst,n,22662,0.91
1682,ÿÿÿdance,n,21799,0.95
1683,ÿÿÿlimit,n,21714,0.95
1684,ÿÿÿlike,j,21723,0.95
1685,ÿÿÿregulation,n,22479,0.92
1686,ÿÿÿbeing,n,21695,0.95
1687,ÿÿÿlast,v,21219,0.97
1688,ÿÿÿring,n,21873,0.94
1689,ÿÿÿlargely,r,22097,0.93
1690,ÿÿÿshift,v,21323,0.96
1691,ÿÿÿrevenue,n,22445,0.92
1692,ÿÿÿmark,v,21236,0.97
1693,ÿÿÿlocate,v,21843,0.94
1694,ÿÿÿcounty,n,22675,0.9
1695,ÿÿÿappearance,n,21146,0.97
1696,ÿÿÿpackage,n,21665,0.95
1697,ÿÿÿdifficulty,n,22288,0.92
1698,ÿÿÿbridge,n,21497,0.95
1699,ÿÿÿrecommend,v,21707,0.94
1700,ÿÿÿobvious,j,21052,0.97
1701,ÿÿÿtrain,n,21766,0.94
1702,ÿÿÿbasically,r,23265,0.88
1703,ÿÿÿe-mail,n,22467,0.91
1704,ÿÿÿgenerate,v,22213,0.92
1705,ÿÿÿanymore,r,21771,0.94
1706,ÿÿÿpropose,v,21691,0.94
1707,ÿÿÿthinking,n,21663,0.94
1708,ÿÿÿpossibly,r,20953,0.97
1709,ÿÿÿtrend,n,21894,0.93
1710,ÿÿÿvisitor,n,21490,0.95
1711,ÿÿÿloan,n,22324,0.91
1712,ÿÿÿcurrently,r,21636,0.94
1713,ÿÿÿcomfortable,j,21101,0.96
1714,ÿÿÿinvestor,n,22410,0.91
1715,ÿÿÿbut,i,20961,0.97
1716,ÿÿÿprofit,n,21754,0.93
1717,ÿÿÿangry,j,21485,0.94
1718,ÿÿÿcrew,n,21238,0.95
1719,ÿÿÿdeep,r,21413,0.95
1720,ÿÿÿaccident,n,20964,0.97
1721,ÿÿÿmale,n,22398,0.9
1722,ÿÿÿmeal,n,21556,0.94
1723,ÿÿÿhearing,n,21560,0.94
1724,ÿÿÿtraffic,n,21296,0.95
1725,ÿÿÿmuscle,n,21931,0.92
1726,ÿÿÿnotion,n,21801,0.93
1727,ÿÿÿcapture,v,21018,0.96
1728,ÿÿÿprefer,v,20946,0.96
1729,ÿÿÿtruly,r,20576,0.98
1730,ÿÿÿearth,n,21350,0.94
1731,ÿÿÿJapanese,j,21800,0.92
1732,ÿÿÿchest,n,22508,0.89
1733,ÿÿÿsearch,v,20943,0.96
1734,ÿÿÿthick,j,21932,0.92
1735,ÿÿÿcash,n,21343,0.94
1736,ÿÿÿmuseum,n,21715,0.93
1737,ÿÿÿbeauty,n,21060,0.95
1738,ÿÿÿemergency,n,20796,0.96
1739,ÿÿÿunique,j,21436,0.93
1740,ÿÿÿfeature,v,21678,0.92
1741,ÿÿÿinternal,j,22025,0.91
1742,ÿÿÿethnic,j,22632,0.88
1743,ÿÿÿlink,v,21335,0.94
1744,ÿÿÿstress,n,21813,0.92
1745,ÿÿÿcontent,n,21821,0.91
1746,ÿÿÿselect,v,21617,0.92
1747,ÿÿÿroot,n,20774,0.96
1748,ÿÿÿnose,n,21938,0.91
1749,ÿÿÿdeclare,v,20550,0.97
1750,ÿÿÿoutside,r,21556,0.92
1751,ÿÿÿappreciate,v,20806,0.95
1752,ÿÿÿactual,j,21321,0.93
1753,ÿÿÿbottle,n,21569,0.92
1754,ÿÿÿhardly,r,20757,0.95
1755,ÿÿÿsetting,n,22004,0.9
1756,ÿÿÿlaunch,v,20767,0.95
1757,ÿÿÿdress,n,21362,0.92
1758,ÿÿÿfile,n,20832,0.95
1759,ÿÿÿsick,j,20906,0.94
1760,ÿÿÿoutcome,n,22721,0.87
1761,ÿÿÿad,n,21064,0.93
1762,ÿÿÿdefend,v,20510,0.96
1763,ÿÿÿmatter,v,20534,0.96
1764,ÿÿÿjudge,v,20320,0.97
1765,ÿÿÿduty,n,20204,0.97
1766,ÿÿÿsheet,n,20787,0.94
1767,ÿÿÿought,v,21552,0.91
1768,ÿÿÿensure,v,21341,0.92
1769,ÿÿÿCatholic,j,20866,0.94
1770,ÿÿÿextremely,r,20310,0.96
1771,ÿÿÿextent,n,21727,0.9
1772,ÿÿÿcomponent,n,22085,0.88
1773,ÿÿÿmix,v,20642,0.95
1774,ÿÿÿlong-term,j,20841,0.94
1775,ÿÿÿslow,j,20404,0.96
1776,ÿÿÿcontrast,n,21581,0.91
1777,ÿÿÿzone,n,20472,0.95
1778,ÿÿÿwake,v,21330,0.91
1779,ÿÿÿchallenge,v,20510,0.95
1780,ÿÿÿairport,n,20897,0.93
1781,ÿÿÿchief,n,20453,0.95
1782,ÿÿÿbrown,j,21175,0.92
1783,ÿÿÿstandard,j,20917,0.93
1784,ÿÿÿshirt,n,21486,0.9
1785,ÿÿÿpilot,n,20192,0.96
1786,ÿÿÿwarn,v,19996,0.97
1787,ÿÿÿultimately,r,20387,0.95
1788,ÿÿÿcat,n,21135,0.92
1789,ÿÿÿcontribution,n,20912,0.92
1790,ÿÿÿcapacity,n,21102,0.92
1791,ÿÿÿourselves,p,19926,0.97
1792,ÿÿÿestate,n,20673,0.93
1793,ÿÿÿguide,n,20646,0.93
1794,ÿÿÿcircumstance,n,20310,0.95
1795,ÿÿÿsnow,n,21011,0.92
1796,ÿÿÿEnglish,j,20235,0.95
1797,ÿÿÿpolitician,n,20360,0.95
1798,ÿÿÿsteal,v,20296,0.95
1799,ÿÿÿpursue,v,20136,0.96
1800,ÿÿÿslip,v,21233,0.91
1801,ÿÿÿpercentage,n,20774,0.92
1802,ÿÿÿmeat,n,20271,0.95
1803,ÿÿÿfunny,j,20399,0.94
1804,ÿÿÿneither,r,20100,0.95
1805,ÿÿÿsoil,n,20916,0.91
1806,ÿÿÿinfluence,v,21448,0.89
1807,ÿÿÿsurgery,n,20118,0.95
1808,ÿÿÿcorrect,j,20613,0.93
1809,ÿÿÿJewish,j,20196,0.94
1810,ÿÿÿblame,v,19798,0.96
1811,ÿÿÿestimate,v,20474,0.93
1812,ÿÿÿdue,i,21141,0.9
1813,ÿÿÿbasketball,n,20955,0.91
1814,ÿÿÿlate,r,19727,0.96
1815,ÿÿÿgolf,n,20979,0.91
1816,ÿÿÿinvestigate,v,20117,0.94
1817,ÿÿÿcrazy,j,20345,0.93
1818,ÿÿÿsignificantly,r,22038,0.86
1819,ÿÿÿchain,n,19688,0.96
1820,ÿÿÿaddress,n,19564,0.97
1821,ÿÿÿbranch,n,19633,0.96
1822,ÿÿÿcombination,n,20026,0.94
1823,ÿÿÿjust,j,20096,0.94
1824,ÿÿÿfrequently,r,20508,0.92
1825,ÿÿÿgovernor,n,20802,0.91
1826,ÿÿÿrelief,n,19493,0.97
1827,ÿÿÿuser,n,20681,0.91
1828,ÿÿÿdad,n,20164,0.94
1829,ÿÿÿkick,v,20092,0.94
1830,ÿÿÿpart,r,19900,0.95
1831,ÿÿÿmanner,n,20012,0.94
1832,ÿÿÿancient,j,19818,0.95
1833,ÿÿÿsilence,n,21169,0.89
1834,ÿÿÿrating,n,20413,0.92
1835,ÿÿÿgolden,j,19852,0.95
1836,ÿÿÿmotion,n,19649,0.95
1837,ÿÿÿGerman,j,20096,0.93
1838,ÿÿÿgender,n,22190,0.85
1839,ÿÿÿsolve,v,19501,0.96
1840,ÿÿÿfee,n,20263,0.93
1841,ÿÿÿlandscape,n,20171,0.93
1842,ÿÿÿused,j,19130,0.98
1843,ÿÿÿbowl,n,20662,0.91
1844,ÿÿÿequal,j,19952,0.94
1845,ÿÿÿlong,c,19227,0.97
1846,ÿÿÿofficial,j,19628,0.95
1847,ÿÿÿforth,r,19531,0.96
1848,ÿÿÿframe,n,20016,0.93
1849,ÿÿÿtypical,j,19724,0.95
1850,ÿÿÿexcept,i,19594,0.95
1851,ÿÿÿconservative,j,19778,0.94
1852,ÿÿÿeliminate,v,19773,0.94
1853,ÿÿÿhost,n,19389,0.96
1854,ÿÿÿhall,n,20236,0.92
1855,ÿÿÿtrust,v,19482,0.95
1856,ÿÿÿocean,n,19421,0.96
1857,ÿÿÿscore,v,20391,0.91
1858,ÿÿÿrow,n,19519,0.95
1859,ÿÿÿproducer,n,19679,0.94
1860,ÿÿÿafford,v,19035,0.97
1861,ÿÿÿmeanwhile,r,19504,0.95
1862,ÿÿÿregime,n,21101,0.88
1863,ÿÿÿdivision,n,19772,0.94
1864,ÿÿÿconfirm,v,19327,0.96
1865,ÿÿÿfix,v,19349,0.96
1866,ÿÿÿappeal,n,19561,0.95
1867,ÿÿÿmirror,n,20081,0.92
1868,ÿÿÿtooth,n,20515,0.9
1869,ÿÿÿsmart,j,19370,0.95
1870,ÿÿÿlength,n,19624,0.94
1871,ÿÿÿentirely,r,19075,0.97
1872,ÿÿÿrely,v,19614,0.94
1873,ÿÿÿtopic,n,20640,0.89
1874,ÿÿÿcomplain,v,19102,0.97
1875,ÿÿÿissue,v,19300,0.95
1876,ÿÿÿvariable,n,22868,0.81
1877,ÿÿÿback,v,19213,0.96
1878,ÿÿÿrange,v,20067,0.92
1879,ÿÿÿtelephone,n,19311,0.95
1880,ÿÿÿperception,n,21086,0.87
1881,ÿÿÿattract,v,19197,0.96
1882,ÿÿÿconfidence,n,18955,0.97
1883,ÿÿÿbedroom,n,20387,0.9
1884,ÿÿÿsecret,n,19125,0.96
1885,ÿÿÿdebt,n,19506,0.94
1886,ÿÿÿrare,j,18978,0.97
1887,ÿÿÿhis,p,19663,0.93
1888,ÿÿÿtank,n,19158,0.95
1889,ÿÿÿnurse,n,19385,0.94
